지방청,관서,검거건수(2017년)
서울,서울지방경찰청,"5,957"
서울,서울중부경찰서,"5,008"
서울,서울종로경찰서,"4,267"
서울,서울남대문경찰서,"3,523"
서울,서울서대문경찰서,"7,226"
서울,서울혜화경찰서,"4,228"
서울,서울용산경찰서,"8,120"
서울,서울성북경찰서,"4,423"
서울,서울동대문경찰서,"9,679"
서울,서울마포경찰서,"11,268"
서울,서울영등포경찰서,"13,663"
서울,서울성동경찰서,"6,890"
서울,서울동작경찰서,"6,882"
서울,서울광진경찰서,"9,282"
서울,서울서부경찰서,"3,726"
서울,서울강북경찰서,"7,882"
서울,서울금천경찰서,"7,649"
서울,서울중랑경찰서,"9,201"
서울,서울강남경찰서,"12,957"
서울,서울관악경찰서,"11,967"
서울,서울강서경찰서,"12,555"
서울,서울강동경찰서,"8,944"
서울,서울종암경찰서,"4,077"
서울,서울구로경찰서,"9,399"
서울,서울서초경찰서,"9,631"
서울,서울양천경찰서,"8,205"
서울,서울송파경찰서,"14,030"
서울,서울노원경찰서,"9,620"
서울,서울방배경찰서,"3,340"
서울,서울은평경찰서,"5,494"
서울,서울도봉경찰서,"5,744"
서울,서울수서경찰서,"8,244"
부산,부산지방경찰청,"3,006"
부산,부산중부경찰서,"4,063"
부산,부산동래경찰서,"7,291"
부산,부산영도경찰서,"3,943"
부산,부산동부경찰서,"4,414"
부산,부산진경찰서,"12,402"
부산,부산서부경찰서,"3,443"
부산,부산남부경찰서,"10,660"
부산,부산해운대경찰서,"10,215"
부산,부산사상경찰서,"7,557"
부산,부산금정경찰서,"5,921"
부산,부산사하경찰서,"7,579"
부산,부산연제경찰서,"6,445"
부산,부산강서경찰서,"3,092"
부산,부산북부경찰서,"6,229"
부산,부산기장경찰서,"3,528"
대구,대구지방경찰청,889
대구,대구중부경찰서,"5,118"
대구,대구동부경찰서,"8,631"
대구,대구서부경찰서,"6,407"
대구,대구남부경찰서,"4,912"
대구,대구북부경찰서,"6,066"
대구,대구수성경찰서,"9,104"
대구,대구달서경찰서,"6,820"
대구,대구성서경찰서,"7,486"
대구,대구달성경찰서,"4,175"
대구,대구강북경찰서,"5,363"
인천,인천지방경찰청,"2,668"
인천,인천중부경찰서,"6,043"
인천,인천미추홀경찰서,"12,914"
인천,인천남동경찰서,"12,494"
인천,인천부평경찰서,"7,772"
인천,인천삼산경찰서,"7,945"
인천,인천서부경찰서,"12,335"
인천,인천계양경찰서,"7,465"
인천,인천연수경찰서,"6,635"
인천,인천강화경찰서,"1,551"
인천,인천논현경찰서,970
광주,광주지방경찰청,638
광주,광주동부경찰서,"4,492"
광주,광주서부경찰서,"10,473"
광주,광주남부경찰서,"4,780"
광주,광주북부경찰서,"12,356"
광주,광주광산경찰서,"9,914"
대전,대전지방경찰청,637
대전,대전중부경찰서,"7,892"
대전,대전동부경찰서,"7,132"
대전,대전서부경찰서,"5,926"
대전,대전대덕경찰서,"5,414"
대전,대전둔산경찰서,"7,173"
대전,대전유성경찰서,"7,259"
울산,울산지방경찰청,695
울산,울산중부경찰서,"8,395"
울산,울산남부경찰서,"10,871"
울산,울산동부경찰서,"4,763"
울산,울산울주경찰서,"5,747"
경기남부,경기남부지방경찰청,"2,619"
경기남부,경기수원중부경찰서,"12,055"
경기남부,경기수원남부경찰서,"16,768"
경기남부,경기수원서부경찰서,"9,682"
경기남부,경기안양동안경찰서,"7,803"
경기남부,경기안양만안경찰서,"7,058"
경기남부,경기군포경찰서,"6,149"
경기남부,경기성남수정경찰서,"7,664"
경기남부,경기성남중원경찰서,"7,284"
경기남부,경기분당경찰서,"10,384"
경기남부,경기부천소사경찰서,"4,949"
경기남부,경기부천원미경찰서,"15,805"
경기남부,경기부천오정경찰서,"5,343"
경기남부,경기광명경찰서,"7,443"
경기남부,경기안산단원경찰서,"13,725"
경기남부,경기안산상록경찰서,"9,990"
경기남부,경기시흥경찰서,"15,867"
경기남부,경기평택경찰서,"20,392"
경기남부,경기화성동부경찰서,"13,466"
경기남부,경기화성서부경찰서,"9,567"
경기남부,경기용인동부경찰서,"12,243"
경기남부,경기용인서부경찰서,"6,179"
경기남부,경기광주경찰서,"9,068"
경기남부,경기김포경찰서,"9,202"
경기남부,경기과천경찰서,"1,491"
경기남부,경기의왕경찰서,"2,729"
경기남부,경기하남경찰서,"4,367"
경기남부,경기이천경찰서,"7,000"
경기남부,경기안성경찰서,"6,596"
경기남부,경기여주경찰서,"3,795"
경기남부,경기양평경찰서,"3,074"
경기북부,경기북부지방경찰청,756
경기북부,경기의정부경찰서,"12,323"
경기북부,경기고양경찰서,"9,671"
경기북부,경기일산동부경찰서,"8,904"
경기북부,경기일산서부경찰서,"5,409"
경기북부,경기남양주경찰서,"15,368"
경기북부,경기파주경찰서,"11,471"
경기북부,경기양주경찰서,"5,832"
경기북부,경기동두천경찰서,"2,659"
경기북부,경기구리경찰서,"5,699"
경기북부,경기포천경찰서,"5,873"
경기북부,경기가평경찰서,"2,643"
경기북부,경기연천경찰서,"1,123"
강원,강원지방경찰청,769
강원,강원춘천경찰서,"7,886"
강원,강원강릉경찰서,"5,791"
강원,강원원주경찰서,"11,002"
강원,강원동해경찰서,"2,584"
강원,강원태백경찰서,"1,159"
강원,강원속초경찰서,"4,184"
강원,강원삼척경찰서,"2,210"
강원,강원영월경찰서,780
강원,강원정선경찰서,"1,275"
강원,강원홍천경찰서,"2,306"
강원,강원평창경찰서,"1,308"
강원,강원횡성경찰서,"1,165"
강원,강원고성경찰서,783
강원,강원인제경찰서,629
강원,강원철원경찰서,813
강원,강원화천경찰서,472
강원,강원양구경찰서,398
충북,충북지방경찰청,939
충북,충북청주흥덕경찰서,"9,693"
충북,충북청주상당경찰서,"6,450"
충북,충북청주청원경찰서,"7,248"
충북,충북충주경찰서,"5,213"
충북,충북제천경찰서,"3,619"
충북,충북영동경찰서,924
충북,충북괴산경찰서,"1,449"
충북,충북단양경찰서,630
충북,충북보은경찰서,681
충북,충북옥천경찰서,913
충북,충북음성경찰서,"3,363"
충북,충북진천경찰서,"2,006"
충남,충남지방경찰청,729
충남,충남천안서북경찰서,"10,754"
충남,충남천안동남경찰서,"6,583"
충남,충남서산경찰서,"6,113"
충남,충남논산경찰서,"3,645"
충남,충남아산경찰서,"6,851"
충남,충남공주경찰서,"2,646"
충남,충남보령경찰서,"2,532"
충남,충남당진경찰서,"4,027"
충남,충남세종경찰서,"3,554"
충남,충남홍성경찰서,"2,231"
충남,충남예산경찰서,"1,600"
충남,충남부여경찰서,"1,228"
충남,충남서천경찰서,"1,125"
충남,충남금산경찰서,"1,032"
충남,충남청양경찰서,560
충남,충남태안경찰서,64
전북,전북지방경찰청,808
전북,전북전주완산경찰서,"8,528"
전북,전북전주덕진경찰서,"7,035"
전북,전북군산경찰서,"7,577"
전북,전북익산경찰서,"7,436"
전북,전북정읍경찰서,"2,511"
전북,전북남원경찰서,"1,972"
전북,전북김제경찰서,"2,187"
전북,전북완주경찰서,"1,545"
전북,전북고창경찰서,"1,376"
전북,전북부안경찰서,"1,269"
전북,전북임실경찰서,434
전북,전북순창경찰서,486
전북,전북진안경찰서,351
전북,전북장수경찰서,364
전북,전북무주경찰서,550
전남,전남지방경찰청,688
전남,전남목포경찰서,"8,082"
전남,전남여수경찰서,"7,676"
전남,전남순천경찰서,"7,298"
전남,전남나주경찰서,"2,572"
전남,전남광양경찰서,"3,655"
전남,전남고흥경찰서,"1,446"
전남,전남해남경찰서,"1,672"
전남,전남무안경찰서,"1,753"
전남,전남장흥경찰서,"1,117"
전남,전남보성경찰서,839
전남,전남영광경찰서,"1,240"
전남,전남화순경찰서,"1,041"
전남,전남함평경찰서,556
전남,전남영암경찰서,"1,456"
전남,전남장성경찰서,969
전남,전남강진경찰서,831
전남,전남담양경찰서,968
