지방청,경찰서,검거건수(2018년),
서울,서울지방경찰청,"5,429",
서울,서울중부경찰서,"4,244",
서울,서울종로경찰서,"4,131",
서울,서울남대문경찰서,"3,480",
서울,서울서대문경찰서,"6,879",
서울,서울혜화경찰서,"3,531",
서울,서울용산경찰서,"7,420",
서울,서울성북경찰서,"4,168",
서울,서울동대문경찰서,"8,687",
서울,서울마포경찰서,"10,878",
서울,서울영등포경찰서,"12,642",
서울,서울성동경찰서,"6,290",
서울,서울동작경찰서,"6,769",
서울,서울광진경찰서,"8,364",
서울,서울서부경찰서,"3,234",
서울,서울강북경찰서,"7,669",
서울,서울금천경찰서,"7,597",
서울,서울중랑경찰서,"8,868",
서울,서울강남경찰서,"12,812",
서울,서울관악경찰서,"11,188",
서울,서울강서경찰서,"11,287",
서울,서울강동경찰서,"8,281",
서울,서울종암경찰서,"3,434",
서울,서울구로경찰서,"9,241",
서울,서울서초경찰서,"9,733",
서울,서울양천경찰서,"7,836",
서울,서울송파경찰서,"14,218",
서울,서울노원경찰서,"8,693",
서울,서울방배경찰서,"3,397",
서울,서울은평경찰서,"5,277",
서울,서울도봉경찰서,"5,395",
서울,서울수서경찰서,"8,219",
부산,부산지방경찰청,"2,341",
부산,부산중부경찰서,"4,204",
부산,부산동래경찰서,"6,678",
부산,부산영도경찰서,"3,395",
부산,부산동부경찰서,"4,237",
부산,부산진경찰서,"11,574",
부산,부산서부경찰서,"2,963",
부산,부산남부경찰서,"10,018",
부산,부산해운대경찰서,"9,566",
부산,부산북부경찰서,"6,199",
부산,부산금정경찰서,"5,984",
부산,부산사하경찰서,"6,499",
부산,부산연제경찰서,"6,343",
부산,부산강서경찰서,"3,129",
부산,부산사상경찰서,"6,516",
부산,부산기장경찰서,"3,696",
대구,대구지방경찰청,813,
대구,대구중부경찰서,"5,360",
대구,대구동부경찰서,"8,471",
대구,대구서부경찰서,"6,065",
대구,대구남부경찰서,"4,329",
대구,대구북부경찰서,"4,952",
대구,대구수성경찰서,"9,121",
대구,대구달서경찰서,"6,249",
대구,대구달성경찰서,"3,982",
대구,대구성서경찰서,"7,266",
대구,대구강북경찰서,"4,886",
인천,인천지방경찰청,"2,294",
인천,인천중부경찰서,"6,489",
인천,인천남부경찰서,"11,031",
인천,인천남동경찰서,"8,785",
인천,인천부평경찰서,"6,509",
인천,인천서부경찰서,"11,997",
인천,인천계양경찰서,"7,169",
인천,인천강화경찰서,"1,430",
인천,인천연수경찰서,"6,268",
인천,인천삼산경찰서,"7,177",
인천,인천논현경찰서,"4,682",
광주,광주지방경찰청,603,
광주,광주광산경찰서,"9,086",
광주,광주동부경찰서,"4,029",
광주,광주서부경찰서,"9,966",
광주,광주남부경찰서,"4,185",
광주,광주북부경찰서,"10,939",
대전,대전지방경찰청,614,
대전,대전중부경찰서,"7,276",
대전,대전동부경찰서,"6,879",
대전,대전서부경찰서,"5,094",
대전,대전대덕경찰서,"4,920",
대전,대전둔산경찰서,"7,262",
대전,대전유성경찰서,"7,409",
울산,울산지방경찰청,467,
울산,울산중부경찰서,"7,450",
울산,울산남부경찰서,"10,350",
울산,울산동부경찰서,"4,372",
울산,울산울주경찰서,"5,012",
경기남부,경기남부지방경찰청,"2,427",
경기남부,수원중부경찰서,"11,278",
경기남부,수원남부경찰서,"15,630",
경기남부,수원서부경찰서,"8,226",
경기남부,안양동안경찰서,"6,684",
경기남부,안양만안경찰서,"6,295",
경기남부,군포경찰서,"4,801",
경기남부,성남수정경찰서,"6,324",
경기남부,성남중원경찰서,"6,661",
경기남부,분당경찰서,"9,289",
경기남부,부천소사경찰서,"4,962",
경기남부,부천원미경찰서,"14,110",
경기남부,부천오정경찰서,"4,691",
경기남부,광명경찰서,"7,073",
경기남부,안산단원경찰서,"12,183",
경기남부,안산상록경찰서,"8,698",
경기남부,시흥경찰서,"14,519",
경기남부,평택경찰서,"18,122",
경기남부,오산경찰서,"13,201",
경기남부,화성동탄경찰서,16,
경기남부,화성서부경찰서,"9,006",
경기남부,용인동부경찰서,"11,132",
경기남부,용인서부경찰서,"5,608",
경기남부,광주경찰서,"8,238",
경기남부,김포경찰서,"9,663",
경기남부,과천경찰서,"1,481",
경기남부,의왕경찰서,"2,718",
경기남부,하남경찰서,"4,308",
경기남부,이천경찰서,"6,524",
경기남부,안성경찰서,"5,542",
경기남부,여주경찰서,"3,063",
경기남부,양평경찰서,"2,863",
경기북부,경기북부지방경찰청,924,
경기북부,의정부경찰서,"12,102",
경기북부,고양경찰서,"9,309",
경기북부,일산동부경찰서,"8,021",
경기북부,일산서부경찰서,"5,466",
경기북부,남양주경찰서,"13,454",
경기북부,파주경찰서,"10,291",
경기북부,양주경찰서,"5,830",
경기북부,동두천경찰서,"2,550",
경기북부,구리경찰서,"5,301",
경기북부,포천경찰서,"5,215",
경기북부,가평경찰서,"2,343",
경기북부,연천경찰서,"1,114",
강원,강원지방경찰청,677,
강원,춘천경찰서,"6,707",
강원,강릉경찰서,"5,319",
강원,원주경찰서,"9,269",
강원,동해경찰서,"2,109",
강원,태백경찰서,"1,026",
강원,속초경찰서,"3,707",
강원,삼척경찰서,"1,864",
강원,영월경찰서,803,
강원,정선경찰서,"1,133",
강원,홍천경찰서,"1,954",
강원,평창경찰서,"1,047",
강원,횡성경찰서,925,
강원,고성경찰서,680,
강원,인제경찰서,610,
강원,철원경찰서,873,
강원,화천경찰서,499,
강원,양구경찰서,390,
충북,충북지방경찰청,909,
충북,청주흥덕경찰서,"9,121",
충북,괴산경찰서,"1,459",
충북,단양경찰서,582,
충북,보은경찰서,565,
충북,영동경찰서,801,
충북,옥천경찰서,951,
충북,음성경찰서,"3,113",
충북,제천경찰서,"3,352",
충북,진천경찰서,"2,064",
충북,청주상당경찰서,"6,489",
충북,청주청원경찰서,"7,070",
충북,충주경찰서,"5,205",
충남,충남지방경찰청,678,
충남,천안서북경찰서,"10,276",
충남,천안동남경찰서,"7,135",
충남,서산경찰서,"4,427",
충남,논산경찰서,"3,259",
충남,아산경찰서,"7,186",
충남,공주경찰서,"2,688",
충남,보령경찰서,"2,612",
충남,당진경찰서,"4,071",
충남,세종경찰서,"3,893",
충남,홍성경찰서,"2,228",
충남,예산경찰서,"1,777",
충남,부여경찰서,"1,154",
충남,서천경찰서,"1,201",
충남,금산경찰서,887,
충남,청양경찰서,595,
충남,태안경찰서,"1,517",
전북,전북지방경찰청,692,
전북,전주완산경찰서,"7,917",
전북,전주덕진경찰서,"7,151",
전북,군산경찰서,"7,492",
전북,익산경찰서,"6,806",
전북,정읍경찰서,"2,440",
전북,남원경찰서,"1,704",
전북,김제경찰서,"2,053",
전북,완주경찰서,"1,580",
전북,고창경찰서,"1,107",
전북,부안경찰서,"1,261",
전북,임실경찰서,435,
전북,순창경찰서,397,
전북,진안경찰서,369,
전북,장수경찰서,393,
전북,무주경찰서,550,
전남,전남지방경찰청,555,
전남,목포경찰서,"7,764",
전남,여수경찰서,"7,620",
전남,순천경찰서,"6,850",
전남,나주경찰서,"2,542",
전남,광양경찰서,"3,636",
전남,고흥경찰서,"1,201",
전남,해남경찰서,"1,472",
전남,무안경찰서,"1,566",
전남,장흥경찰서,"1,128",
전남,보성경찰서,880,
전남,영광경찰서,"1,103",
전남,화순경찰서,"1,145",
전남,함평경찰서,585,
전남,영암경찰서,"1,523",
전남,장성경찰서,906,
전남,강진경찰서,816,
전남,담양경찰서,988,
전남,곡성경찰서,471,
전남,완도경찰서,"1,083",
전남,진도경찰서,793,
전남,구례경찰서,480,
경북,경북지방경찰청,927,
경북,경주경찰서,"6,610",
경북,포항북부경찰서,"7,155",
경북,포항남부경찰서,"6,033",
경북,구미경찰서,"10,260",
경북,경산경찰서,"5,981",
경북,안동경찰서,"3,824",
경북,김천경찰서,"3,282",
경북,영주경찰서,"1,986",
경북,영천경찰서,"2,579",
경북,상주경찰서,"2,188",
경북,문경경찰서,"1,494",
경북,칠곡경찰서,"3,165",
경북,의성경찰서,"1,058",
경북,청도경찰서,836,
경북,영덕경찰서,"1,116",
경북,울진경찰서,"1,074",
경북,봉화경찰서,559,
경북,예천경찰서,794,
경북,성주경찰서,"1,137",
경북,청송경찰서,576,
경북,영양경찰서,303,
경북,군위경찰서,447,
경북,고령경찰서,699,
경북,울릉경찰서,157,
경남,경남지방경찰청,"1,218",
경남,창원중부경찰서,"6,153",
경남,창원서부경찰서,"4,947",
경남,마산중부경찰서,"3,825",
경남,마산동부경찰서,"4,547",
경남,진주경찰서,"7,426",
경남,김해중부경찰서,"8,517",
경남,김해서부경찰서,"5,235",
경남,거제경찰서,"6,373",
경남,양산경찰서,"7,220",
경남,진해경찰서,"3,580",
경남,통영경찰서,"3,878",
경남,사천경찰서,"2,550",
경남,밀양경찰서,"2,500",
경남,거창경찰서,"1,140",
경남,합천경찰서,855,
경남,창녕경찰서,"1,327",
경남,고성경찰서,"1,374",
경남,하동경찰서,874,
경남,남해경찰서,703,
경남,함양경찰서,815,
경남,산청경찰서,628,
경남,함안경찰서,"1,461",
경남,의령경찰서,577,
제주,제주지방경찰청,483,
제주,제주동부경찰서,"9,085",
제주,제주서부경찰서,"7,519",
제주,제주서귀포경찰서,"5,862",
,,,
