지방청,관서,발생건수(2015년)
서울,서울중부경찰서,"7,896"
서울,서울종로경찰서,"6,808"
서울,서울남대문경찰서,"6,251"
서울,서울서대문경찰서,"10,093"
서울,서울혜화경찰서,"6,211"
서울,서울용산경찰서,"11,183"
서울,서울성북경찰서,"6,089"
서울,서울동대문경찰서,"12,963"
서울,서울마포경찰서,"14,951"
서울,서울영등포경찰서,"20,324"
서울,서울성동경찰서,"9,349"
서울,서울동작경찰서,"10,602"
서울,서울광진경찰서,"13,873"
서울,서울서부경찰서,"4,960"
서울,서울강북경찰서,"10,781"
서울,서울금천경찰서,"12,281"
서울,서울중랑경찰서,"12,350"
서울,서울강남경찰서,"20,670"
서울,서울관악경찰서,"15,962"
서울,서울강서경찰서,"16,205"
서울,서울강동경찰서,"12,711"
서울,서울종암경찰서,"5,281"
서울,서울구로경찰서,"16,385"
서울,서울서초경찰서,"16,471"
서울,서울양천경찰서,"12,280"
서울,서울송파경찰서,"19,893"
서울,서울노원경찰서,"12,350"
서울,서울방배경찰서,"4,676"
서울,서울은평경찰서,"6,654"
서울,서울도봉경찰서,"7,400"
서울,서울수서경찰서,"12,672"
부산,부산중부경찰서,"4,829"
부산,부산동래경찰서,"10,224"
부산,부산영도경찰서,"3,639"
부산,부산동부경찰서,"6,212"
부산,부산진경찰서,"19,182"
부산,부산서부경찰서,"4,708"
부산,부산남부경찰서,"15,882"
부산,부산해운대경찰서,"17,474"
부산,부산사상경찰서,"10,017"
부산,부산금정경찰서,"9,640"
부산,부산사하경찰서,"10,555"
부산,부산연제경찰서,"11,007"
부산,부산강서경찰서,"4,538"
부산,부산북부경찰서,"8,224"
부산,부산기장경찰서,"4,569"
대구,대구중부경찰서,"8,932"
대구,대구동부경찰서,"13,302"
대구,대구서부경찰서,"10,264"
대구,대구남부경찰서,"7,560"
대구,대구북부경찰서,"8,307"
대구,대구수성경찰서,"14,172"
대구,대구달서경찰서,"9,906"
대구,대구성서경찰서,"13,119"
대구,대구달성경찰서,"5,516"
대구,대구강북경찰서,"7,819"
인천,인천중부경찰서,"8,845"
인천,인천남부경찰서,"17,128"
인천,인천남동경찰서,"19,101"
인천,인천부평경찰서,"9,919"
인천,인천삼산경찰서,"8,955"
인천,인천서부경찰서,"16,131"
인천,인천계양경찰서,"9,487"
인천,인천연수경찰서,"8,514"
인천,인천강화경찰서,"1,835"
광주,광주동부경찰서,"6,500"
광주,광주서부경찰서,"15,616"
광주,광주남부경찰서,"6,756"
광주,광주북부경찰서,"17,018"
광주,광주광산경찰서,"15,344"
대전,대전중부경찰서,"10,545"
대전,대전동부경찰서,"8,457"
대전,대전서부경찰서,"7,157"
대전,대전대덕경찰서,"6,113"
대전,대전둔산경찰서,"15,436"
대전,대전유성경찰서,"1,885"
울산,울산중부경찰서,"13,111"
울산,울산남부경찰서,"15,362"
울산,울산동부경찰서,"7,245"
울산,울산울주경찰서,"8,851"
경기,경기수원중부경찰서,"14,692"
경기,경기수원남부경찰서,"20,222"
경기,경기수원서부경찰서,"10,741"
경기,경기안양동안경찰서,"9,841"
경기,경기안양만안경찰서,"8,338"
경기,경기군포경찰서,"7,222"
경기,경기성남수정경찰서,"8,926"
경기,경기성남중원경찰서,"9,800"
경기,경기분당경찰서,"12,135"
경기,경기부천소사경찰서,"6,683"
경기,경기부천원미경찰서,"22,082"
경기,경기부천오정경찰서,"6,513"
경기,경기의정부경찰서,"15,241"
경기,경기고양경찰서,"12,962"
경기,경기일산경찰서,"18,182"
경기,경기광명경찰서,"9,919"
경기,경기안산단원경찰서,"19,030"
경기,경기안산상록경찰서,"14,809"
경기,경기시흥경찰서,"19,501"
경기,경기평택경찰서,"20,483"
경기,경기남양주경찰서,"16,608"
경기,경기화성동부경찰서,"15,108"
경기,경기화성서부경찰서,"10,212"
경기,경기용인동부경찰서,"14,589"
경기,경기용인서부경찰서,"7,930"
경기,경기광주경찰서,"10,396"
경기,경기파주경찰서,"14,589"
경기,경기김포경찰서,"10,237"
경기,경기과천경찰서,"1,709"
경기,경기의왕경찰서,"3,685"
경기,경기양주경찰서,"7,408"
경기,경기동두천경찰서,"3,548"
경기,경기구리경찰서,"7,664"
경기,경기하남경찰서,"5,538"
경기,경기이천경찰서,"7,013"
경기,경기포천경찰서,"7,309"
경기,경기안성경찰서,"7,227"
경기,경기여주경찰서,"4,247"
경기,경기양평경찰서,"3,597"
경기,경기가평경찰서,"3,124"
경기,경기연천경찰서,"1,730"
강원,강원춘천경찰서,"10,603"
강원,강원강릉경찰서,"7,634"
강원,강원원주경찰서,"14,088"
강원,강원동해경찰서,"3,632"
강원,강원태백경찰서,"1,484"
강원,강원속초경찰서,"4,843"
강원,강원삼척경찰서,"2,587"
강원,강원영월경찰서,"1,038"
강원,강원정선경찰서,"1,675"
강원,강원홍천경찰서,"2,395"
강원,강원평창경찰서,"1,400"
강원,강원횡성경찰서,"1,368"
강원,강원고성경찰서,"1,138"
강원,강원인제경찰서,916
강원,강원철원경찰서,"1,125"
강원,강원화천경찰서,443
강원,강원양구경찰서,559
충북,충북청주흥덕경찰서,"11,790"
충북,충북청주상당경찰서,"8,037"
충북,충북청주청원경찰서,"8,191"
충북,충북충주경찰서,"8,223"
충북,충북제천경찰서,"4,574"
충북,충북영동경찰서,"1,172"
충북,충북괴산경찰서,"2,166"
충북,충북단양경찰서,828
충북,충북보은경찰서,805
충북,충북옥천경찰서,"1,417"
충북,충북음성경찰서,"3,951"
충북,충북진천경찰서,"2,549"
충남,충남천안서북경찰서,"14,143"
충남,충남천안동남경찰서,"10,901"
충남,충남서산경찰서,"7,460"
충남,충남논산경찰서,"4,371"
충남,충남아산경찰서,"8,717"
충남,충남공주경찰서,"3,237"
충남,충남보령경찰서,"4,391"
충남,충남당진경찰서,"5,470"
충남,충남세종경찰서,"3,764"
충남,충남홍성경찰서,"3,153"
충남,충남예산경찰서,"2,339"
충남,충남부여경찰서,"1,713"
충남,충남서천경찰서,"1,462"
충남,충남금산경찰서,"1,467"
충남,충남청양경찰서,821
전북,전북전주완산경찰서,"11,193"
전북,전북전주덕진경찰서,"9,346"
전북,전북군산경찰서,"10,294"
전북,전북익산경찰서,"9,729"
전북,전북정읍경찰서,"3,526"
전북,전북남원경찰서,"2,400"
전북,전북김제경찰서,"2,754"
전북,전북완주경찰서,"2,154"
전북,전북고창경찰서,"1,451"
전북,전북부안경찰서,"1,795"
전북,전북임실경찰서,560
전북,전북순창경찰서,616
전북,전북진안경찰서,394
전북,전북장수경찰서,493
전북,전북무주경찰서,637
전남,전남목포경찰서,"13,314"
전남,전남여수경찰서,"10,777"
전남,전남순천경찰서,"10,786"
전남,전남나주경찰서,"3,123"
전남,전남광양경찰서,"5,223"
전남,전남고흥경찰서,"1,869"
전남,전남해남경찰서,"2,106"
전남,전남무안경찰서,"2,328"
전남,전남장흥경찰서,"1,382"
전남,전남보성경찰서,"1,181"
전남,전남영광경찰서,"1,520"
전남,전남화순경찰서,"1,642"
