지방청,관서,발생건수(2018년),
서울,서울중부경찰서,"6,214",
서울,서울종로경찰서,"5,881",
서울,서울남대문경찰서,"5,023",
서울,서울서대문경찰서,"8,616",
서울,서울혜화경찰서,"4,868",
서울,서울용산경찰서,"10,017",
서울,서울성북경찰서,"5,080",
서울,서울동대문경찰서,"10,568",
서울,서울마포경찰서,"14,544",
서울,서울영등포경찰서,"17,517",
서울,서울성동경찰서,"8,129",
서울,서울동작경찰서,"8,870",
서울,서울광진경찰서,"10,768",
서울,서울서부경찰서,"3,618",
서울,서울강북경찰서,"9,385",
서울,서울금천경찰서,"10,184",
서울,서울중랑경찰서,"10,915",
서울,서울강남경찰서,"19,127",
서울,서울관악경찰서,"14,302",
서울,서울강서경찰서,"14,670",
서울,서울강동경찰서,"10,436",
서울,서울종암경찰서,"4,000",
서울,서울구로경찰서,"12,748",
서울,서울서초경찰서,"15,120",
서울,서울양천경찰서,"10,023",
서울,서울송파경찰서,"18,233",
서울,서울노원경찰서,"11,067",
서울,서울방배경찰서,"4,404",
서울,서울은평경찰서,"6,265",
서울,서울도봉경찰서,"6,781",
서울,서울수서경찰서,"11,624",
부산,부산지방경찰청,-,
부산,부산중부경찰서,"5,289",
부산,부산동래경찰서,"8,049",
부산,부산영도경찰서,"3,081",
부산,부산동부경찰서,"4,950",
부산,부산진경찰서,"15,566",
부산,부산서부경찰서,"3,465",
부산,부산남부경찰서,"12,275",
부산,부산해운대경찰서,"11,551",
부산,부산북부경찰서,"7,118",
부산,부산금정경찰서,"6,971",
부산,부산사하경찰서,"8,166",
부산,부산연제경찰서,"8,145",
부산,부산강서경찰서,"4,206",
부산,부산사상경찰서,"7,397",
부산,부산기장경찰서,"4,399",
대구,대구지방경찰청,-,
대구,대구중부경찰서,"6,700",
대구,대구동부경찰서,"10,382",
대구,대구서부경찰서,"7,093",
대구,대구남부경찰서,"5,161",
대구,대구북부경찰서,"5,818",
대구,대구수성경찰서,"10,803",
대구,대구달서경찰서,"7,222",
대구,대구달성경찰서,"4,674",
대구,대구성서경찰서,"8,891",
대구,대구강북경찰서,"5,597",
인천,인천지방경찰청,-,
인천,인천중부경찰서,"8,597",
인천,인천남부경찰서,"13,746",
인천,인천남동경찰서,"10,772",
인천,인천부평경찰서,"7,977",
인천,인천서부경찰서,"14,489",
인천,인천계양경찰서,"8,006",
인천,인천강화경찰서,"1,660",
인천,인천연수경찰서,"7,113",
인천,인천삼산경찰서,"8,410",
인천,인천논현경찰서,"5,621",
광주,광주지방경찰청,-,
광주,광주광산경찰서,"10,937",
광주,광주동부경찰서,"4,607",
광주,광주서부경찰서,"11,410",
광주,광주남부경찰서,"4,609",
광주,광주북부경찰서,"12,006",
대전,대전지방경찰청,-,
대전,대전중부경찰서,"8,434",
대전,대전동부경찰서,"7,652",
대전,대전서부경찰서,"6,000",
대전,대전대덕경찰서,"5,564",
대전,대전둔산경찰서,"8,940",
대전,대전유성경찰서,"8,937",
울산,울산지방경찰청,-,
울산,울산중부경찰서,"9,050",
울산,울산남부경찰서,"12,215",
울산,울산동부경찰서,"5,357",
울산,울산울주경찰서,"6,142",
경기남부,경기남부지방경찰청,-,
경기남부,수원중부경찰서,"13,625",
경기남부,수원남부경찰서,"18,580",
경기남부,수원서부경찰서,"10,042",
경기남부,안양동안경찰서,"8,116",
경기남부,안양만안경찰서,"7,411",
경기남부,군포경찰서,"5,660",
경기남부,성남수정경찰서,"7,786",
경기남부,성남중원경찰서,"7,943",
경기남부,분당경찰서,"11,496",
경기남부,부천소사경찰서,"5,864",
경기남부,부천원미경찰서,"18,228",
경기남부,부천오정경찰서,"5,347",
경기남부,광명경찰서,"8,379",
경기남부,안산단원경찰서,"15,273",
